Listing_Title,City,Area,Location,picode,Zone,Propery_Type,Size_In_Sqft,Carpet_Area_Sqft,Bedrooms,Bathrooms,Balcony,Frurnishing_Status,Amenities,Number_Of_Amenities,Security_Deposite,Rent_Price,Property_Age,Brokerage,Floor_No,Total_floors_In_Building,Maintenance_Charge,Nearby_Facilities,Recomened for,Muncipla Water Or Bore Water,Type of Society,Road Connectivity,Builder or Developer Name
3 BHK Villa for Rent,Nagpur,koradi colony,"Koradi Road, Koradi Colony, Nagpur",,West,3 BHK villa,4000.sqft,3800.sqft,3,1,3,Fully Furnished,parking,1,98000,49000,2 years,yes,,,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 1 km,
3 BHK Independent House for Rent,Nagpur,manewada,"Emaar Madan Ratan City Villa, Manewada, Nagpur",,south zone,3 BHK house,1200.sqft, ,3,3,2,Unfurnished,"parking,pet allowed, garden,gated community",4,54000,27000,,No,,,No,"school, hospita, metro station, mall",family,,Township,under 1 km,
1 RK Independent House for Rent,Nagpur,dighori,"dighori, nagpur",,south zone,1 RK house,800.sqft,,1,1,,Unfurnished,,0,8000,4000,1 year,No,,,No,"school, hospita, metro station, mall",batchlor,,,under 2 km,
2 BHK Independent House for Rent,Nagpur,teka naka,"teka naka, nagpur",,West,2 BHK house,1800.sqft,,2,2,,Semi Furnished,geted community,1,40000,20000,,No,,,No,"school, hospita, metro station, mall",,,,under 1 km,
3 BHK Independent House for Rent,Nagpur,wanadongri,"wanadongari, nagpur",,West,3 BHK house,1500.sqft,1200.sqft,2,2,2,Semi Furnished,parking,1,27000,13500,10 years,No,,,No,"school,hospital,metro station,bus stop",family,,,under 1 km,
1 RK Independent House for Rent,Nagpur,gandhibagh,"gandhibag, nagpur",,east zone,1 RK house,250.sqft,,1,1,,Semi Furnished,,0,20000,10000,,No,,,No,"school, hospita, metro station, mall",,,,under 1 km,
2 BHK Independent House for Rent,Nagpur,sonegaon,"Parate nagar, Sonegaon, Nagpur",,south zone,2 BHK house,900.sqft,  ,2,2,,Semi Furnished,,0,22000,11000,,No,,,No,"school, hospita, metro station, airport",,,,under 1 km,
2 BHK Flat for Rent ,Nagpur,shatabdisquare,"Shatabdi Square, Nagpur, Maharashtra",,south zone,2 BHK Flat,1600 .sqft,1500 sqft,2,2,,Semi Furnished,Wifi,1,40000,20000,Less than 5 years,No,2 Floor,2 Floors,No,"school, hospita, metro station, airport",family,,,under 1 km,
2 BHK Flat for Rent,Nagpur,hudkeswar,"Devashree Krishnam Nagari Location Hudkeshwar Road Nagpur, Sanmarga Nagar, Nagpur",,south zone,2 BHK Flat,1500.sqft,,2,2,,Fully Furnished,,0,28000,14000,5 years,No,,,No,"School,Hospital, metro station, mall",,,,under 2 km,
1 BHK Independent Builder Floor for Rent,Nagpur,manish nagar,"Sr realators, Manish Nagar, Nagpur",,south zone,1 BHK floor,800.sqft,,1,1,1,Semi Furnished,"ATM,gym,kids pool,fire fighting ,lift,parking,pet allowed,garden,water supply,gated Community",10,22000,11000,1 year,yes,2 Floor,4 floors,No,"school, hospital,metro station,mall","family,batchelor",,,under 1 km,
3 BHK Independent Builder Floor for Rent,Nagpur,narendra nagar extension,"Mits, Narendra Nagar Extension, Nagpur",,south zone,3 BHK floor,1500.sqft,,3,3,,Fully Furnished,parking,1,40000,20000,8 years,yes,Ground Floor,2 Floors,No,"school, hospital,metro station,airport","family,batchelor",,,under 1 km,
1 BHK Independent Builder Floor for Rent,Nagpur,narendra nagar extension,"Narendra Nagar Extension, Nagpur",,south zone,1 BHK floor,600.sqft,500.sqft,1,1,1,Semi Furnished,"lift ,parking",2,20000,10000,5 years,yes,3 Floor,3 Floors,No,"school,hospital,metro station,airport","family,batchelor,company",,,under 1  km,
2 BHK Flat for Rent,Nagpur,manewada,"Arya apartment, Manewada, Nagpur",,south zone,2 BHK Flat,1200.sqft,,2,2,2,Semi Furnished,parking,1,30000,15000,1 year,yes,2 Floor,16 Floors,No,"school, hospital,metro station,mall","family,batchelor,company",,,under 1 km,
1 BHK Flat for Rent,Nagpur,manewada,"Manewada, Nagpur",,south zone,1 BHK Flat,700.sqft,,1,1,1,Semi Furnished,parking,1,20000,10000,,yes,3 Floor,5 Floors,No,"school,hospital,metro station,mall",family,,,under 1 km,
3 BHK Independent House for Rent,Nagpur,itwari,"itwari , nagpur",,east zone,3 BHK house,1800 .sqft,,3,3,,Unfurnished,,0,44000,22000,,No,,,No,"school, hospital, metro station,mall",family,,,under 2 km,
2 BHK Independent House for Rent,Nagpur,sitabuldi,"sitabuldi, nagpur",,west zone,2 BHK house,1500.sqft,,2,2,,Unfurnished,,0,30000,15000,,No,,,No,"school,hospital,metro station ,mall",,,,under 500 m,
1 BHK Flat for Rent,Nagpur,reshim bagh,"reshim bagh, nagpur",,east zone,1 BHK Flat,800.sqft,700.sqft,1,1,1,Semi Furnished,"lift ,parking, power backpu, kids arear,water supply",5,20000,10000,5 years,yes,1 Floor,3 Floors,No,"school, hospital, metro station, mall","Family, batchelor, company",,,under 2 km,
1 BHK Independent House for Rent,Nagpur,nari village,"nari village, nagpur",,north zone,1 BHK house,900.sqft,,1,1,,Unfurnished,"power Backup,Water supply,Gated Community",3,24000,12000,13 years,No,,,No,"school, hospita, metro station, mall","Family, batchelor, company",,,under 500 m,
2 BHK Independent House for Rent,Nagpur,nandanwan,"Gurudev Nagar, Bapu Nagar, Nandanvan, Nagpur",,south zone,2 BHK house,1200.sqft,,2,2,,Unfurnished,,0,20000,10000,,No,,,No,"school, hospita, metro station, mall",,,,under 1 km,
3 BHK Independent House for Rent,Nagpur,mahal,"mahal, nagpur",,east zone,3 BHK house,1800.sqft ,,3,3,,Semi Furnished,,0,30000,15000,,No,,,No,"school, hospita, metro station, mall","family, batchelor",,,under 1 km,
2 BHK Independent Builder Floor for Rent,Nagpur,mahal,"mahal, nagpur",,east zone,2 BHK floor,1200. sqft,1000. sqft,2,2,,Semi Furnished,,0,24000,12000,5 years,No,,,No,"school, hospita, metro station, mall","family, batchelor",,,under 1 km,
3 BHK Independent Builder Floor for Rent,Nagpur,ganeshpeth,"Ganeshpeth Colony, Nagpur",,west zone,3 BHK floor,2000.sqft,,3,3,,Fully Furnished,,0,40000,20000,2 years,No,3 Floor,4 floors,No,"school, hospita, metro station, mall",,,,under 1 km,
1 BHK Independent Builder Floor for Rent,Nagpur,rameshwari,"Bajrang Nagar, Rameshwari, Nagpur",,south zone,1 BHK floor,600.sqft,500.sqft,1,1,1,Fully Furnished,gas pipline,1,24000,12000,8 years,No,2 Floor,2 Floors,No,"school, hospita, metro station, mall","family, batchelor",,,under 1 km,
2 BHK Flat for Rent,Nagpur,dharampeth,"dharampeth, nagpur",,west zone,2 BHK Flat,1500.sqft,,2,2,2,Fully Furnished,"parking, Security, ATM",3,30000,15000,1 year,yes,2 Floor,5 Floors,No,"school, hospita, metro station, mall,bus stop","Family, batchelor, company",,,under 500 m,
2 BHK Flat for Rent,Nagpur,medical square,"Arihant plaza, Medical Chowk, Hanuman Nagar, Nagpur",,south zone,2 BHK Flat,1000.sqft,900.sqft,2,2,2,Fully Furnished,parking,1,36000,18000,4 years,yes,2 Floor,4 floors,No,"school, hospita, metro station, mall","batchelor,family",,,under 1 km,
2 BHK Independent Builder Floor for Rent,Nagpur,rameshwari,"Vilasnagar, Rameshwari, Nagpur",,south zone,2 BHK floor,1500.sqft,,2,2,3,Semi Furnished,,0,24000,12000,2 years,No,,,No,"school, hospita, metro station, mall",family,,,under 2 km,
2 BHK Independent Builder Floor for Rent,Nagpur,dhantoli,"dhantoli, nagpur",,west zone,2 BHK floor,1000.sqft,,2,2,,Semi Furnished,,0,20000,10000,,No,,,No,"school, hospita, metro station, mall",,,,under 1 km,
1 BHK Flat for Rent,Nagpur,dhantoli,"Ved Solitare, Dhantoli, Nagpur",,west zone,1 BHK Flat,900.sqft,,1,1,1,Semi Furnished,"pool,gym,lift,parking,power backup,intercom,pet allowed,garden, sport facility,kids area,geted community,water supply, gas pipline",13,24000,12000,5 years,yes,2 Floor,5 Floors,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 1 km,
2 BHK Flat for Rent,Nagpur,dhantoli,"Mits, Dhantoli, Nagpur",,west zone,2 BHK Flat,900.sqft,,2,2,2,Semi Furnished,parking,1,36000,18000,15 years,yes,1 Floor,3 Floors,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 500 m,
2 BHK Independent Builder Floor for Rent,Nagpur,kalamna,"kalamna,nagpur",,south zone,2 BHK floor,1200.sqft,,2,2,,Semi Furnished,,0,20000,10000,,No,,,No,"school, hospita, metro station, mall","family,company",,,under 1 km,
3 BHK Flat for rent,Nagpur,jaripatka,"Divya Apartment, Jaripatka, Nagpur",,north zone,3 BHK Flat,1767.sqft,,3,3,,Fully Furnished,,0,50000,25000,,No,1 Floor,4 floors,No,"school, hospita, metro station, mall","family,company",,,under 3 km,
2 BHK Flat for Rent,Nagpur,jaripatka,"Welcome society nara, Jaripatka, Nagpur",,north zone,2 BHK Flat,1500.sqft,,2,2,,Unfurnished,,0,24000,12000,,No,,,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 1 km,
3 BHK Independent Builder Floor for Rent,Nagpur,mankapur,"mankapur,nagpur",,north zone,3 BHK floor,1700.sqft,,3,3,,Semi Furnished,,0,54000,27000,,No,1 Floor,3 Floors,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 2 km,
1 BHK Flat for Rent,Nagpur,mankapur,"Khagde classic, Mankapur, Nagpur",,north zone,1 BHK Flat,1900.sqft,800.sqft,1,1,1,Semi Furnished,"lift,parking,power backup,pet allowed,water supply",5,22000,11000,5 years,yes,2 Floor,5 Floors,yes,"school, hospita, metro station, mall","family,batchelor,company",,,under 500 mtrs,
2 BHK Flat for Rent,Nagpur,jaitala,"Vasudev apartment, Jaitala, Nagpur",,south zone,2 BHK Flat,1500.sqft,1300.sqft,2,2,2,Fully Furnished,"lift,parking,power backup,water supply,intercome,kids area",6,50000,25000,5 years,yes,3 Floor,5 Floors,No,"school, hospita, metro station, mall",family,,,under 1 km,
3 BHK Independent Builder Floor for Rent,Nagpur,jaitala,"Aanad Nagar, Jaitala, Nagpur",,south zone,3 BHK floor,1500.sqft,1400.sqft,3,3,3,Unfurnished,parking,1,34000,17000,1 year,yes,1 Floor,1 Floor,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 1 km,
3 BHK Flat for Rent,Nagpur,Hingna,"L G Greenfield 1 Wing D, Hingna, Nagpur",,south zone,3 BHK Flat,700.sqft,,3,3,2,Unfurnished,"gym,lift,garden,parking,kids area, water supply",6,28000,14000,5 years,No,1 Floor,4 Floors,No,"school, hospita, metro station, mall",family,,,under 2 km,
1 BHK Flat for Rent,Nagpur,Hingna,"Green field 2, Hingna, Nagpur",,south zone,1 BHK Flat,753.sqft,,1,1,,Semi Furnished,,0,24000,12000,,No,,,No,"school, hospita, bus stop, mall",family,,,under 1 km,
1 BHK Flat for Rent,Nagpur,Hingna,"Paradise Hills New, Hingna, Nagpur",,south zone,1 BHK Flat,600.sqft,,1,1,1,Unfurnished,,0,10000,5000,,No,3 Floor,4 Floors,No,"school, hospita, bus stop, mall,metro station","family,batchelor",,,under 2 km,
3 BHK Flat for Rent,Nagpur,mihan,"First City Harmony, Mihan, Nagpur",,south zone,3 BHK Flat,1000.sqft,950.sqft,3,3,2,Fully Furnished,"security,basket ball court,kids area, parking",4,60000,30000,2 years,yes,2 Floor,13 Floors,No,"school,hospita, bus stop,metro station,airport",family,,Township,under 3 km,
2 BHK Flat for Rent,Nagpur,mihan,"Shiv Kailasa, Mihan, Nagpur",,south zone,2 BHK Flat,1500.sqft,1400.sqft,2,2,2,Fully Furnished,parking,1,54000,27000,1 year,yes,9 Floor,16 Floors,No,"school,hospital,bus stop,metro station","family,batchelor,company",,Township,under 5 km,
2 BHK Flat for Rent,Nagpur,mihan,"Nagpur Integrated First City Project, Mihan, Nagpur",,south zone,2 BHK Flat,900.sqft, ,2,2,2,Fully Furnished,"pool,gym,lift,parking,power backup,intercom,pet allowed,garden, sport facility,kids area,geted community,water supply, gas pipline",13,40000,20000,5 years,yes,6 Floor,11 Floors,No,"school,hospital,metro station,airport","family,batchelor,company",,Township,under 1 km,
2 BHK Independent House for Rent,Nagpur,mihan,"Mahindra Bloomdale Building 10 B, Mihan, Nagpur",,south zone,2 BHK house,1200.sqft,,2,2,,Semi Furnished,,0,26000,13000,,No,,,No,"school,hospital,metro station,bus stop",,,Township,under 4 km,
3 BHK Flat for Rent,Nagpur,Hingna,"Brick By Brick Green Park, Hingna, Nagpur",,south zone,3 BHK Flat,1200.sqft,,3,3,,Semi Furnished,"lift, parking, gated cummunity, water supply",4,36000,18000,,No,,,No,"school,hospital,metro station,bus stop",,,Township,under 1 km,
1 BHK Flat for Rent,Nagpur,Hingna,"Paradise Hills New, Hingna, Nagpur",,south zone,1 BHK Flat,600.sqft,,1,1,1,Unfurnished,,0,10000,5000,3 years,No,3 Floor,4 floors,No,"school,hospital,metro station,bus stop","family,batchelor",,Township,under 1 km,
3 BHK Flat for Rent,Nagpur,gotal panjri,"DHL Singapore Life City, Gotal Pajri, Nagpur",,south zone,3 BHK Flat,900.sqft,,3,3,,Semi Furnished,,0,30000,15000,,No,1 Floor,6 Floors,No,"school,hospital,metro station,airport","family,batchelor",,Township,under 1 km,
3 BHK Flat for Rent,Nagpur,beltarodi,"Fakhri Babji Enclave, Prithviraj Nagar, Beltarodi, Nagpur",,south zone,3 BHK Flat,1200.sqft,1100.sqft,3,3,1,Fully Furnished,"lift , pet allowed, geted cummunity",3,60000,30000,1 year,No,4 Floor,4 Floors,yes,"school,hospital,metro station,airport","family,company",,Township,under 1 km,
1 BHK Flat for Rent,Nagpur,beltarodi,"Maxx Glory, Prithviraj Nagar, Beltarodi, Nagpur",,south zone,1 BHK Flat,950.sqft,860.sqft,1,1,1,Semi Furnished,"pool, gym,lift,parking,power backup, intercom,pet alloed, garden,sporty facility,kids area, geted cummunity, water supply",12,34000,17000,1 year,yes,7 Floor,13 Floors,No,"school,hospital,metro station,airport","family,company",,Township,under 2 km,
2 BHK Flat for Rent,Nagpur,beltarodi,"Maxx Glory, Prithviraj Nagar, Beltarodi, Nagpur",,south zone,2 BHK Flat,1500.sqft,1200.sqft,2,2,2,Semi Furnished,parking,1,52000,26000,1 year,yes,5 Floor,13 Floors,No,"school,hospital,metro station,airport","family,batchelor,company",,Township,under 3 km,
3 BHK Flat for Rent,Nagpur,manewada,"Pyramid City 6, Manewada, Nagpur",,south zone,3 BHK Flat,1650.sqft,,3,3,,Semi Furnished,,0,44000,22000,,No,,,No,"school, hospita, metro station, mall",,,Township,under 4 km,
2 BHK Flat for Rent,Nagpur,besa,"Atharva Nagari, Besa, Nagpur",,south zone,2 BHK Flat,750.sqft,673.sqft,2,2,3,Semi Furnished,parking,1,30000,15000,3 years,yes,9 Floor,11 Floors,No,"school,hospital,metro station,airport",family,,Township,under 3 km,
2 BHK Independent House for Rent,Nagpur,godhni,godhni nagpur,,north zone,2 BHK house,1000.sqft,,2,2,,Semi Furnished,,0,28000,14000,,No,,,No,"school, hospita, metro station, mall",,,Township,under 1 km,
2 BHK Flat for Rent,Nagpur,zingabai takli,"Om Satyam Tulip, Zingabai Takli, Nagpur",,west zone,2 BHK Flat,516.sqft,,2,2,1,Semi Furnished,parking,1,26000,13000,,No,,,No,"school, hospita, metro station, mall",family,,Township,under 1 km,
2 BHK Flat for Rent,Nagpur,nandanwan,"Shaikh consultancy, Bapu Nagar, Nandanvan, Nagpur",,south zone,2 BHK Flat,1050.sqft,950.sqft,2,1,3,Fully Furnished,"lift ,parking,power backup,intercom,sports facility, kids area,water supply, gas pipeline",8,50000,25000,10 years,yes,2 Floor,4 Floors,No,"school, hospita, metro station, mall","family,batchelor,company",,Township,under 1 km,
3 BHK Independent House for Rent,Nagpur,kotewada,"Mahalaxmi Nagar 10, Kotewada, Nagpur",,south zone,3 BHK house,2000.sqft,,3,3,3,Unfurnished,"garden,kids area,gated community,water supply",4,36000,18000,1 year,No,,,No,"school, hospita, metro station","family,batchelor,company",,Township,under 10 km,
4 BHK Independent House for Rent,Nagpur,kotewada,"Fire The Empyrean, Kotewada, Nagpur",,south zone,4 BHK house,2600.sqft,,4,5,,Semi Furnished,,0,90000,45000,,No,,,No,"school, hospita, metro station","family,batchelor,company",,Township,under 10 km,
3 BHK Independent House for Rent,Nagpur,dighori,"dighori, nagpur",,south zone,3 BHK house,1500.sqft,,3,4,2,Semi Furnished,parking,1,12000,6000,,No,,,No,"school, hospita, metro station, mall",batchelor ,,,under 1 km,
4 BHK Independent Builder Floor for Rent,Nagpur,pratap nagar,"Rachana house, Pratap Nagar, Nagpur",,south zone,4 BHK floor,2500.sqft,,4,4,5,Fully Furnished,parking,1,140000,70000,5 years,yes,Ground Floor,2 Floors,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 1 km,
3 BHK Independent House for Rent,Nagpur,pratap nagar,"pratap nagar, nagpur",,south zone,3 BHK house,1200.sqft,,3,3,3,Semi Furnished,parking,1,40000,20000,1 year,yes,,,No,"school,hospital,metro station,airport","family,batchelor,company",,,under 1 km,
2 BHK Independent House for Rent,Nagpur,seminary hills,"Himalaya hills, Seminary Hills, Nagpur",,West,2 BHK house,1261.sqft,1169.sqft,2,2,2,Fully Furnished,"parking,powert backup,pet allowed, water supply",4,44000,22000,5 years,yes,,,yes,"school, hospita, metro station, mall","family,batchelor,company",,,under 4 km,
2 BHK Independent House for Rent,Nagpur,vayusena nagar,"Datta Niwas, Dabha, Vayusena Nagar, Nagpur",,West,2 BHK house,1269.sqft,1055.sqft,2,2,2,Semi Furnished,"parking ,pet allowd,water supply",3,28000,14000,3 years,yes,,,yes,"school, hospita, metro station, mall","family,batchelor,company",,,under 1 km,
2 BHK Independent House for Rent,Nagpur,nandanwan,"SM consultancy, Nandanvan, Nagpur",,south zone,2 BHK house,1235.sqft, 1163.sqft,2,2,2,Semi Furnished,"parking, security, ATM",3,30000,15000,4 years,yes,,,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 500m,
2 BHK Independent House for Rent,Nagpur,ram nagar,"ram nagar ,nagpur",,west zone,2 BHK house,1250.sqft,1050.sqft,2,3,2,Fully Furnished,parking,1,60000,30000,10 years,yes,,,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 500m,
2 BHK Independent House for Rent,Nagpur,manish nagar,"Manish Nagar ,Nagpur",,south zone,2 BHK house,900.sqft,900.sqft,2,2,1,Semi Furnished,"parking,gas pipeline",2,28000,14000,,No,,,No,"school, hospita, metro station, airport",bachelor,,,under 1 km,
2 BHK Independent House for Rent,Nagpur,chandrakiran nagar,"chandrakiran nagar, nagpur",,West,2 BHK house,2000.sqft,1800.sqft,3,3,3,Semi Furnished,"parking,pet allowed,water supply",3,32000,16000,,No,,,No,"school,hospital,mall",family,,,under 1 km,
2 BHK Independent House for Rent,Nagpur,duttawadi,"duttawadi,nagpur",,east zone,2 BHK house,1000.sqft,,2,2,4,Unfurnished,parking,1,24000,12000,15 years,No,,,No,"school, hospita, metro station, airport","family,batchelor,company",,,under 1 km,
2 BHK Independent House for Rent,Nagpur,bharatwada,"bharatwada,nagpur",,West,2 BHK house,930.sqft,,2,2,,Semi Furnished,,0,14000,7000,,No,,,No,"school,hospital,metro station,bus stop",,,,under 4 km,
2 BHK Independent House for Rent,Nagpur,boriyapura,"boriyapura,nagpur",,West,2 BHK house,850.sqft,,2,2,,Semi Furnished,"power backup,garden,water supply",3,15000,7500,,No,,,No,"school, hospita, metro station, mall",family,,,under 1 km,
2 BHK Independent House for Rent,Nagpur,omkar nagar,"Omkar Nagar, Gajanan Nagar, Nagpur",,south zone,2 BHK house,1400.sqft,,2,2,,Semi Furnished,"pet allowed,garden,water supply",3,48000,24000,,No,,,No,"school, hospita, metro station, mall",family,,,under 1 km,
2 BHK Independent House for Rent,Nagpur,zingabai takli,"Arti township zingabai takli , Bhokara, Nagpur",,west zone,2 BHK house,750.sqft,,2,1,1,Unfurnished,,0,12000,6000,10 years,No,,,No,"school,hospital,metro station,bus stop",family,,,under 2 km,
2 BHK Independent House for Rent,Nagpur,khamla,"Purandar, Pande Layout, Khamla, Nagpur",,south zone,2 BHK house,2500.sqft,2000.sqft,2,2,1,Fully Furnished,,0,70000,35000,1 year,No,,,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 1 km,
3 BHK Independent House for Rent,Nagpur,khamla,"Pande Layout, Khamla, Nagpur",,south zone,3 BHK house,1500.sqft,1450.sqft,3,3,2,Fully Furnished,"parking ,pet allowd,garden,ATM,gym,fire fighting sysytem,kids area",7,64000,32000,5 years,yes,,,No,"school, hospita, metro station, airport","family,batchelor,company",,,under 1 km,
4 BHK Villa for Rent,Nagpur,beltarodi,"beltarodi, nagpur",,south zone,4 BHK villa,2000.sqft,,4,5,2,Fully Furnished,"pool,gym,lift,power backup,intercom,pet allowed,garden,sports facility,kids area ,geted cummunity,water supply,gas pipline",12,56000,28000,5 years,No,,,No,"school, hospita, metro station, airport","family,batchelor,company",,,under 1 km,
